Avg_sim_depth,Max_sim_depth,Max_node_depth,Avg_sim_points,Max_sim_points,Board_points
131.53,396,6,116.8,512,2
140.07,251,4,120,256,4
141.4,258,4,130.13,256,4
128.38,203,3,116.92,256,4
131.11,269,4,118.65,256,4
127.88,192,5,112.56,256,8
123.46,338,4,112.72,512,8
124.88,253,5,115.2,256,8
120.87,229,6,106.95,256,8
116.73,209,5,102.55,256,8
124.64,251,6,116.48,256,8
117.27,264,4,103.48,256,8
121.69,229,5,116.36,256,8
114.28,247,5,101.27,256,16
116.54,258,5,105.78,256,16
119.8,267,5,114.06,256,16
110.45,259,6,110.42,256,16
112.86,220,5,113.48,256,16
113.99,224,7,111.43,256,16
113.48,254,7,111.85,256,16
115.77,290,5,120.73,512,16
108.22,222,5,108.12,256,16
107.56,247,6,106.79,256,32
104.73,238,7,107.5,256,32
112.57,246,6,113.41,256,32
109.57,238,6,114.12,256,32
104.8,228,6,114.36,256,32
106.9,241,6,115.29,256,32
98.33,250,6,109.05,256,32
98.71,244,6,107.49,256,32
96.46,242,6,107.01,256,32
107.2,246,6,117.07,256,32
96.98,230,5,110.88,256,32
101.6,222,7,117.6,256,32
98.09,237,8,112.66,256,32
90.2,214,8,106.46,256,32
91.32,197,9,107.91,256,32
90.78,210,8,114.62,256,32
95.69,231,9,118.65,256,32
95.07,193,8,117.4,256,32
100.67,248,6,123.35,256,32
95.62,208,5,121.3,256,32
95.57,299,6,119.22,512,32
94.62,231,6,124.49,256,64
93.15,234,7,121.49,256,64
90.7,238,6,120.51,256,64
90.8,205,6,120.45,256,64
83.42,214,7,113.26,256,64
91.24,230,6,122.24,256,64
87.76,282,6,118.6,512,64
85.56,216,7,117.73,256,64
82.86,194,6,119.42,256,64
82.07,225,8,117.23,256,64
82.98,236,7,117.96,256,64
78.95,284,9,117.23,256,64
84.72,218,7,127.1,256,64
75.83,195,7,114.29,256,64
71.61,203,8,110.78,256,64
87.26,213,13,137.76,256,64
81.3,200,6,126.65,256,64
82.6,201,7,129.55,256,64
77.13,200,7,123.27,256,64
75.38,223,8,121.86,256,64
74.47,218,8,121.14,256,64
72.29,176,7,118.13,256,64
76.91,214,11,131.28,256,64
71.48,217,6,121.89,256,64
80.53,227,10,135.05,512,64
80.78,209,8,135.66,256,64
84.43,218,9,143.69,256,64
81.89,207,8,144.24,256,64
78.01,190,6,137.05,256,64
78.99,205,8,144.3,256,64
83.54,201,8,148.64,256,64
80.93,171,8,149.12,256,64
81.4,192,7,147.69,256,64
79.58,191,7,145.4,256,64
77.85,193,8,147.32,256,128
79.38,210,7,146.88,256,128
76.17,206,7,146.11,256,128
73.94,210,9,147.03,256,128
71.4,194,8,144.21,256,128
73.44,254,7,149.15,512,128
75.53,191,6,150.82,256,128
76.83,251,6,152,256,128
69.49,178,6,148.36,256,128
70.1,186,7,147.57,256,128
66.85,193,7,147.2,256,128
70.16,197,6,152.06,256,128
66.31,204,7,145.07,256,128
68.17,187,7,150.86,256,128
66.92,232,9,149.85,256,128
63.13,214,8,146.43,512,128
67.56,188,7,150.56,256,128
66.31,191,8,152.77,256,128
61.41,184,8,143.75,256,128
62.74,189,7,150.14,256,128
65.58,196,8,152.43,256,128
65.09,173,8,154.2,256,128
60.33,206,7,152.09,256,128
58.53,178,7,150.76,256,128
61.87,270,9,155.46,512,128
61.02,235,9,151.18,512,128
57.87,175,7,149.09,256,128
63.96,177,9,158.04,256,128
60.83,178,8,152.71,256,128
60.78,170,7,154.27,256,128
64.32,194,8,160,512,128
55.79,185,8,152.81,256,128
61.71,177,7,161.92,256,128
59.62,227,7,156.98,512,128
57.72,167,8,157.65,256,128
57.51,172,6,158.5,256,128
57.63,177,7,161.15,256,128
60.81,222,7,166.22,512,128
58.8,191,7,163.82,512,128
62.21,235,7,170.98,512,128
53.23,185,7,157.09,256,128
55.09,158,6,162.31,256,128
52.84,158,7,162.13,256,128
55.27,168,7,163.51,256,128
52.26,195,8,164.83,512,128
51.29,153,8,160.22,256,128
63,234,11,184.89,256,128
49.55,156,8,161.71,256,128
56.87,185,10,178.44,256,128
64.64,221,12,197.49,512,128
74.6,169,10,211.67,256,128
67.76,161,11,209.2,256,128
